Project,Date,Year,Se,Treatment,El,Plot,Hor,BIOC,RESPC,BION,NO3,NH4,NIT,MIN,DEA,H2O,pH
Calcium,1998-10-13,1998,F,BearBrook,M,LT152,Oa/A,2334.66,88.16,435.63,13.89,5.75,5.52,5.42,679.16,0.67,-9999.99
Calcium,1998-10-13,1998,F,BearBrook,M,LT154,Oa/A,1359.62,58.21,264.02,12.19,3.71,4.35,4.5,641.3,0.51,-9999.99
Calcium,1998-10-13,1998,F,BearBrook,M,LT142,Oi/Oe,4774.26,184.62,725.67,54.52,58.44,24.41,29.15,2288.43,0.78,-9999.99
Calcium,1998-10-13,1998,F,BearBrook,M,LT144,Oi/Oe,1556.72,150.52,692,39.81,34.54,21.23,22.55,2047.04,0.74,-9999.99
Calcium,1998-10-13,1998,F,BearBrook,M,LT147,Oi/Oe,-9999.99,177.73,720.97,32.31,53.43,14.04,24.03,1025.27,0.76,-9999.99
Calcium,1998-10-13,1998,F,BearBrook,M,LT152,Oi/Oe,-9999.99,-9999.99,743.96,6.91,17.08,7.83,16.01,1385.33,0.76,-9999.99
Calcium,1998-10-13,1998,F,BearBrook,M,LT154,Oi/Oe,3593.46,171.81,645.28,12.79,38.47,8.28,20.87,2566.9,0.73,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-1,Min,1014.67,28.22,83.91,4.43,7.87,0.5,3.55,375.7,0.23,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-2,Min,1255.12,42.3,105.67,7.44,5.25,0.85,4.66,649.97,0.26,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-3,Min,244.65,26.04,54.99,0.37,2.68,0.14,1.4,328.71,0.19,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-4,Min,1235.09,52.07,80,-0.67,2.55,0.05,2.16,376.44,0.4,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-5,Min,567.18,21.02,32.86,2.07,2.26,0.36,1.31,145.78,0.27,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-1,Oa/A,1372.62,138.47,543.91,6.22,16.06,1.07,26.59,3242.35,0.59,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-2,Oa/A,1192.37,124.15,434.38,14.17,36.94,1.09,21.12,2857.54,0.53,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-3,Oa/A,3056.32,111.52,333.92,-0.04,10.39,0.12,14.15,2182.81,0.5,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-4,Oa/A,3755.92,145.23,442.06,-0.06,20.16,0,16.02,2033.4,0.62,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-5,Oa/A,4508.98,171.12,565.59,3.18,52.77,0.77,19.1,3491.5,0.68,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-1,Oi/Oe,4747.99,174.31,671.38,0.58,-54.56,0.04,46.96,1178.11,0.63,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-2,Oi/Oe,4369.33,157.94,591.46,2.07,45.74,-9999.99,-9999.99,1804.82,0.6,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-3,Oi/Oe,4072.82,162.6,580.33,0.35,23.67,0.02,35.68,665.88,0.56,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-4,Oi/Oe,4290.39,179.71,608.91,0.12,-17.21,0.04,45.08,900.25,0.6,-9999.99
Calcium,1999-06-29,1999,SU,BearBrook,SF,SF-5,Oi/Oe,5448.66,230.3,671.41,0.9,60.5,0.3,24.63,1871.36,0.7,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT104,Min,857.05,20.93,66.14,7.46,0.57,2.1,2.24,507.94,0.34,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT107,Min,733.28,11.45,36.55,5.57,1.53,0.95,0.97,183.82,0.37,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT110,Min,1165.67,22.37,83.38,8.38,1.77,1.15,1.23,496.23,0.53,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT114,Min,764.25,17.5,75.22,6.3,1.94,1.16,1.12,344.11,0.41,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT115,Min,842.99,21.4,69.47,5.14,5.52,1.38,1.34,259.74,0.43,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT104,Oa/A,2633.6,74.09,240.62,16.99,2.6,7.04,11.47,4704.15,0.5,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT107,Oa/A,4300.79,140.99,441.29,65.68,8.66,12.16,17.69,-9999.99,0.72,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT110,Oa/A,4039.49,120.66,388.13,40.46,5.85,12.79,12.87,4107.74,0.68,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT114,Oa/A,2549.85,92.31,265.01,41.76,3.49,6.9,9.32,2289.56,0.57,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT115,Oa/A,3906.38,129.85,419.63,37.31,12.28,7.86,17.61,2341.7,0.66,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT104,Oi/Oe,5223.96,198.41,718.42,11.16,37.11,6.86,45.29,4220.37,0.67,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT107,Oi/Oe,6338.25,257.84,817.55,72.09,32.07,12.03,52.06,3125.53,0.78,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT110,Oi/Oe,2023.56,218.83,702.06,79.41,44.3,26.51,50.77,5804.08,0.73,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT114,Oi/Oe,6307.02,379.66,798.53,56.45,88.63,9.02,47.48,2935.91,0.74,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,H,LT115,Oi/Oe,6742.34,124.44,942.81,9.07,141.26,1.11,42.74,7770.25,0.74,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT142,Min,606.11,17.16,64.21,5.59,1.65,1.11,1.34,99.47,0.26,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT144,Min,705.49,13.39,83.51,6.71,1.89,0.93,0.96,250.11,0.3,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT147,Min,676.16,10.08,54.26,2.68,1.18,0.66,0.65,50.29,0.28,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT152,Min,1063.25,25.04,131.56,7.17,3.56,1.77,2.49,289.96,0.2,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT154,Min,832.31,12,74.76,2.74,1.55,0.73,0.73,176.61,0.33,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT142,Oa/A,3257.92,104.1,477.08,27.49,6.22,13.96,16.87,2013.91,0.54,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT144,Oa/A,1766.43,59.34,180.37,21.82,2.34,7.21,7.45,1258.22,0.5,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT147,Oa/A,4261.3,113.88,577.82,19.87,6.32,10.54,11.14,1334.19,0.67,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT152,Oa/A,2487.28,76.64,440.86,31.72,6.31,5.02,12.4,2507.86,0.44,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT154,Oa/A,3549.09,106.22,410.89,10.72,10.32,5.76,9.84,1406.65,0.62,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT142,Oi/Oe,7306.73,483.17,1072.06,51.17,153.94,16.75,64.34,3544.77,0.76,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT144,Oi/Oe,5520.74,208.3,651.82,44.82,82.64,14.18,37.13,2977.24,0.73,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT147,Oi/Oe,9297.13,516.61,1177.81,12.11,79.84,5.28,32.9,3096.1,0.82,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT152,Oi/Oe,5315.98,399.09,784.07,50.65,103.18,9.51,43.25,5679.41,0.68,-9999.99
Calcium,1999-06-30,1999,SU,BearBrook,M,LT154,Oi/Oe,6864.08,255.37,871.69,5.97,90.79,1.75,27.24,1842.94,0.76,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT162,Min,570.58,13.62,42.72,0.04,1.56,0.05,0.16,41.79,0.17,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT163,Min,677.78,22.04,48.36,-0.02,4.2,0,0.72,65.98,0.27,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT168,Min,53.52,5.5,16.54,2.08,1.7,0.21,0.29,101.63,0.28,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT172,Min,775.28,15.91,92.02,1.13,2.69,0.46,0.65,315.3,0.46,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT174,Min,330.17,8.46,29.11,1.2,3.29,0.26,0.74,77.02,0.21,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT162,Oa/A,3990.87,113.84,542.16,0.39,23.83,0.01,8,740.81,0.69,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT163,Oa/A,4250.41,161.13,479.87,0.03,14.48,-0.02,6.93,987.39,0.77,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT168,Oa/A,3224.27,102.77,332.78,22.9,16.38,4.09,11.17,1634.52,0.68,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT172,Oa/A,3821.57,155.98,319.75,6.57,21.12,2.21,9.85,1313.29,0.72,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT174,Oa/A,3682.3,120.07,387.15,29.77,12.13,6.04,11.43,961.35,0.75,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT162,Oi/Oe,6313.4,234.85,894.61,1.14,94.95,-0.04,26.05,854.37,0.76,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT163,Oi/Oe,1153.75,263.95,828.06,0.2,20.95,0.03,31.02,378.81,0.76,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT168,Oi/Oe,7342.38,319.43,945.24,9.96,154.42,2.06,53.92,1379.37,0.79,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT172,Oi/Oe,7071.17,306.84,742.83,1.65,48.04,0.53,36.04,1594.51,0.78,-9999.99
Calcium,1999-07-01,1999,SU,BearBrook,L,LT174,Oi/Oe,7186.02,279.97,860.52,14.84,80.3,2.77,33.51,1335.11,0.81,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-1,Min,871.38,20.36,86.17,3.31,2.91,1.08,2.11,187.84,0.29,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-2,Min,1196.01,26.8,117.66,2.76,4.37,1.22,2.32,188.32,0.33,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-3,Min,746.95,13.49,59,2.46,2.1,0.64,0.99,109.38,0.2,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-4,Min,883.22,15.85,67.96,0.41,2.31,0.33,0.55,89.13,0.27,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-5,Min,366.7,4.47,20.71,0.55,1.14,0.22,0.25,24.81,0.16,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-1,Oa/A,2130.71,54.39,275.17,16.23,5.93,3.4,6.33,824.43,0.52,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-2,Oa/A,3225.3,102.3,393.61,20.45,9.89,5.54,12.42,1762.31,0.61,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-3,Oa/A,4560.17,107.94,617.63,19.46,9.92,9.14,13.1,2143.99,0.66,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-4,Oa/A,2395.51,54.04,261.59,5.38,3.65,2.44,3.75,864.55,0.48,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-5,Oa/A,3882.61,77.47,489.39,9.47,6.99,4.33,6.94,961.48,0.65,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-1,Oi/Oe,4967,250.15,830.27,2.49,115.52,0.37,36.87,1128.1,0.79,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-2,Oi/Oe,5074.85,199.87,685.19,4.74,42.8,3.16,27.17,1569.29,0.76,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-3,Oi/Oe,6077.97,158.32,817.2,4.02,70.75,2.52,34.32,2062.05,0.74,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-4,Oi/Oe,4989.96,169.32,615.24,1.59,23.24,1.31,16.57,964.72,0.7,-9999.99
Calcium,1999-07-02,1999,SU,W1,L,LY6-5,Oi/Oe,7663.36,237.81,999.36,0.9,37.26,0.88,22.91,1359.08,0.79,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-1,Min,976.02,23.89,92.84,6.56,3.27,0.96,2.08,268.13,0.32,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-2,Min,797.53,22.38,72.64,5.92,2.94,0.75,1.71,155.37,0.32,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-3,Min,1006.88,27.53,105.16,4.9,2.6,1.93,2.68,251.18,0.38,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-4,Min,1049.06,34.05,111.47,7.23,3.76,1.56,2.51,380.53,0.4,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-1,Oa/A,2557.51,83.7,377.14,28.95,17.91,3.71,7.75,1163.93,0.61,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-2,Oa/A,3404.18,102.83,439.96,43.13,9.18,6.71,11.4,1478.68,0.69,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-3,Oa/A,2338.61,77.84,258.76,28.73,5.98,6.07,7.34,1408.28,0.65,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-4,Oa/A,2019.71,60.91,261.97,18.52,5.14,3.3,6.76,1560.75,0.57,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-1,Oi/Oe,7367.51,330.09,775.59,40.25,76.89,16.33,47.81,5719.91,0.74,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-2,Oi/Oe,5285.78,232.54,715.41,27.53,98.07,5.21,34.85,1916.73,0.75,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-3,Oi/Oe,6082.12,229.79,792.9,31.95,90.44,6.58,31.55,1970.81,0.79,-9999.99
Calcium,1999-07-02,1999,SU,W1,M,LY4-4,Oi/Oe,4423.05,180.28,614.66,28.62,37.54,8.57,29.57,2937.92,0.75,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-1,Min,1983.32,39.9,251.4,40.28,4.1,4.97,4.8,1162.79,0.56,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-2,Min,1187.58,42.22,102.45,5.24,2.97,2.48,2.8,839.59,0.45,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-3,Min,361.7,11.99,35.53,0.89,2.16,0.66,0.95,154.95,0.22,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-4,Min,1551.4,40.4,177.81,8.53,4.55,4.34,4.12,1193.06,0.43,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-5,Min,744.8,13.98,71.2,2.2,1.16,1.17,1.17,121.11,0.26,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-1,Oa/A,3040.87,117.46,324.99,70.15,8.56,9.88,12.52,3468.26,0.69,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-2,Oa/A,2402.74,103.58,253.69,9.53,5.58,5.85,9.9,2936.73,0.6,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-3,Oa/A,3022.37,108.88,383.48,15.16,10.78,5.94,15.32,4752.39,0.66,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-4,Oa/A,3060.64,100.23,347.65,23.33,4.91,13.58,15.61,3699.58,0.58,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-5,Oa/A,1973.47,70.52,214.92,4.87,6.09,2.92,6.93,1984.85,0.42,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-1,Oi/Oe,5835.41,273.51,780.69,70.35,113.39,21.17,35.68,4373.92,0.81,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-2,Oi/Oe,6055.27,271.7,634.11,7.78,38.04,7.16,28.07,2057.47,0.8,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-3,Oi/Oe,5245.65,227.9,746.41,10.03,40.93,7.6,36.97,3952.95,0.76,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-4,Oi/Oe,5012.73,227.7,711.8,14.75,34.3,11.51,35.2,5814.4,0.72,-9999.99
Calcium,1999-07-06,1999,SU,W1,H,LY3-5,Oi/Oe,4788.6,220.56,670.17,1.82,45.61,1.9,29.9,2441.19,0.71,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-1,Min,655.31,11.87,46.82,0.63,2.45,0.88,1.1,482.28,0.28,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-2,Min,622.85,26.41,37.49,0.03,2.42,0,0.71,169.2,0.25,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-3,Min,703.75,16.03,42.55,1.31,1.59,0.52,0.8,218.99,0.4,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-4,Min,1347.4,42,106.52,0.53,2.97,0.87,2.07,785.28,0.39,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-5,Min,761.97,25.16,44.29,-0.19,2.64,0.49,0.79,183.49,0.25,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-1,Oa/A,6269.13,269.42,820.22,0.06,90.89,4.21,30.28,7980.65,0.77,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-2,Oa/A,3812.46,166.44,387.26,-0.39,23.39,0.06,6.67,1342.06,0.7,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-3,Oa/A,4946.2,184.31,498.35,-0.49,27.37,0.07,12.63,3236.28,0.75,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-4,Oa/A,3662.1,141.5,434.69,-0.2,18.7,1.42,5.71,2777.16,0.65,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-5,Oa/A,3779.3,57.07,493.11,-1.04,22.63,0.13,14.01,3243.29,0.6,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-1,Oi/Oe,7351.43,314.6,885.27,-0.82,106.14,0.08,29.05,3247.85,0.79,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-2,Oi/Oe,5050.27,221.54,692.89,-0.39,36.79,0.08,22.07,2618.75,0.74,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-3,Oi/Oe,1918.95,98.22,742,-0.09,29.74,0.05,27.93,1701.37,0.76,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-4,Oi/Oe,5571.28,252.65,755.74,-0.1,40.75,0.09,39.1,2136.47,0.72,-9999.99
Calcium,1999-07-06,1999,SU,W1,SF,LY2-5,Oi/Oe,4639.64,210.77,628.49,0.15,26.08,0.02,22.36,1763.37,0.66,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-1,Min,-9999.99,18.31,-9999.99,0.76,4.33,0.14,0.09,-9999.99,0.34,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-2,Min,-9999.99,11.6,-9999.99,0.68,2.62,0.21,0.08,-9999.99,0.36,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-4,Min,-9999.99,36.69,-9999.99,3.19,1.46,0.22,0.98,-9999.99,0.5,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-5,Min,-9999.99,22.19,-9999.99,6.75,1.54,0.77,0.75,-9999.99,0.38,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-1,Oa/A,-9999.99,56.79,-9999.99,18.8,7.07,2.97,2.61,-9999.99,0.61,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-2,Oa/A,-9999.99,135.95,-9999.99,19.91,4.21,3.05,3.21,-9999.99,0.8,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-3,Oa/A,-9999.99,140.54,-9999.99,29.06,16.69,5.35,4.38,-9999.99,0.68,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-4,Oa/A,-9999.99,126.27,-9999.99,36.1,37.23,6.03,7.39,-9999.99,0.78,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-5,Oa/A,-9999.99,38.52,-9999.99,8.94,1.69,0.6,0.64,-9999.99,0.48,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-1,Oi/Oe,-9999.99,270.95,-9999.99,3.75,41.23,0.87,7.67,-9999.99,0.85,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-2,Oi/Oe,-9999.99,278.31,-9999.99,3.53,46.82,0.79,13.13,-9999.99,0.81,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-3,Oi/Oe,-9999.99,259.06,-9999.99,8.8,54.68,2.92,8.39,-9999.99,0.79,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-4,Oi/Oe,-9999.99,310.7,-9999.99,3.55,107.85,0.28,11.55,-9999.99,0.85,-9999.99
Calcium,1999-12-29,1999,W,W1,L,LY6-5,Oi/Oe,-9999.99,183.6,-9999.99,5.41,7.69,2.31,3.14,-9999.99,0.75,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-2,Min,-9999.99,13.5,-9999.99,3.04,5.43,0.41,0.35,-9999.99,0.41,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-3,Min,-9999.99,22.29,-9999.99,4.88,5.59,0.74,0.37,-9999.99,0.41,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-5,Min,-9999.99,9.03,-9999.99,3.09,3.77,0.48,0.33,-9999.99,0.19,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-1,Oa/A,-9999.99,37.86,-9999.99,13.97,2.23,1.4,1.41,-9999.99,0.63,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-2,Oa/A,-9999.99,125.03,-9999.99,44.21,40.39,8,6.12,-9999.99,0.79,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-3,Oa/A,-9999.99,47.12,-9999.99,16.99,7.42,2.66,2.31,-9999.99,0.52,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-5,Oa/A,-9999.99,55.94,-9999.99,43.49,6.54,4.41,4.29,-9999.99,0.57,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-1,Oi/Oe,-9999.99,229.76,-9999.99,4.84,66.86,0.42,5.97,-9999.99,0.84,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-2,Oi/Oe,-9999.99,321.66,-9999.99,5.74,145.57,0.04,27.13,-9999.99,0.85,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-3,Oi/Oe,-9999.99,130.65,-9999.99,14.06,44.58,3.67,4.44,-9999.99,0.7,-9999.99
Calcium,1999-12-29,1999,W,W1,M,LY4-5,Oi/Oe,-9999.99,212.23,-9999.99,34.47,146.74,10.95,19.2,-9999.99,0.79,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT162,Min,-9999.99,19.97,-9999.99,0.63,2.28,0.16,0.06,-9999.99,0.36,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT163,Min,-9999.99,22.98,-9999.99,0.16,2.81,0,-0.21,-9999.99,0.43,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT168,Min,-9999.99,27.64,-9999.99,1.74,14.82,0.38,0.69,-9999.99,0.45,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT172,Min,-9999.99,15.59,-9999.99,0.32,1.77,0.06,-0.01,-9999.99,0.42,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT174,Min,-9999.99,-9999.99,-9999.99,1.78,2.91,0.35,0.17,-9999.99,0.51,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT162,Oa/A,-9999.99,165.29,-9999.99,0.22,9.77,0,1.26,-9999.99,0.73,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT163,Oa/A,-9999.99,-9999.99,-9999.99,0.58,17.64,-0.01,-0.81,-9999.99,0.85,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT168,Oa/A,-9999.99,178.14,-9999.99,2.8,77.24,0.15,5.21,-9999.99,0.8,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT172,Oa/A,-9999.99,141.85,-9999.99,7.14,16.99,2.04,3.34,-9999.99,0.78,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT174,Oa/A,-9999.99,132.86,-9999.99,0.41,10.76,0,0.66,-9999.99,0.8,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT162,Oi/Oe,-9999.99,281.9,-9999.99,0.37,8.07,0,4.78,-9999.99,0.8,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT163,Oi/Oe,-9999.99,374.33,-9999.99,0.6,22.65,-0.01,-1.08,-9999.99,0.87,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT168,Oi/Oe,-9999.99,344.04,-9999.99,1.08,90.65,-0.01,6.65,-9999.99,0.86,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT172,Oi/Oe,-9999.99,322.23,-9999.99,1.29,72.62,0.07,0.82,-9999.99,0.87,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,L,LT174,Oi/Oe,-9999.99,237.44,-9999.99,0.56,12.99,0.03,1.81,-9999.99,0.83,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT142,Min,-9999.99,7.73,-9999.99,0.69,1.14,0.15,0.08,-9999.99,0.29,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT144,Min,-9999.99,6.73,-9999.99,1.98,1.69,0.36,0.31,-9999.99,0.32,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT147,Min,-9999.99,22.17,-9999.99,2.92,1.03,0.37,0.38,-9999.99,0.44,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT152,Min,-9999.99,17.04,-9999.99,2.94,1.39,0.37,0.32,-9999.99,0.46,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT154,Min,-9999.99,21.35,-9999.99,5.41,1.01,1,1.04,-9999.99,0.33,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT142,Oa/A,-9999.99,82.04,-9999.99,18.15,2.86,3.86,3.94,-9999.99,0.72,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT144,Oa/A,-9999.99,82.89,-9999.99,17.56,2.51,3.68,3.81,-9999.99,0.7,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT147,Oa/A,-9999.99,72.25,-9999.99,1.67,2.04,0.07,0.16,-9999.99,0.63,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT152,Oa/A,-9999.99,68.01,-9999.99,3.22,4.1,1.03,0.97,-9999.99,0.58,-9999.99
Calcium,1999-12-30,1999,W,BearBrook,M,LT154,Oa/A,-9999.99,58.7,-9999.99,14.08,2.42,3.41,3.54,-9999.99,0.59,-9999.99
